productType,price,sqft,rooms,bathrooms,location,pricePerSqft,latitude,longitude
House,7500000,4270,4,4,Arabian Ranches,1756.440281030445,25.043469458643,55.261570887002
House,5000000,3400,3,4,The Sustainable City,1470.5882352941176,25.028872363792,55.276749166938
House,20000000,8812,4,5,Jumeirah Islands,2269.632319564231,25.063676,55.149897
Apartment,2100000,1694,2,4,Dubai Marina,1239.6694214876034,25.0884,55.147004
House,12995000,4219,4,5,Jumeirah Golf Estates,3080.1137710357903,25.015643924315,55.197186992228
Apartment,1950000,938,1,2,Downtown Dubai,2078.8912579957355,25.189294,55.277241
House,3700000,2071,3,3,Dubai Hills Estate,1786.5765330758088,25.092683607735,55.253987543091
Apartment,14000000,2061,3,3,Bluewaters Island,6792.819019893256,25.079124,55.12064
House,10750000,4483,5,5,Dubai Hills Estate,2397.9478028106178,25.100788878556,55.248185494388
Residence,3800000,2653,4,4,Mudon,1432.3407463249152,25.012960294053,55.267458359647
Apartment,900000,1498,2,2,Remraam,600.8010680907877,25.002969,55.247704
Apartment,1199999,1306,2,3,Dubai Production City (IMPZ),918.8353751914242,25.038253,55.201036
Apartment,3075000,1996,2,2,Palm Jumeirah,1540.5811623246493,25.105885,55.150081
Apartment,425000,427,0,1,Arjan,995.3161592505854,25.060676,55.24004
Apartment,1998888,2593,3,4,Town Square,770.8785190898573,25.010185,55.290816
Apartment,1200000,476,1,1,Dubai Hills Estate,2521.0084033613443,25.099519,55.244235
House,4500000,3900,5,4,The Villa,1153.8461538461538,25.087606948941,55.362093294514
Apartment,2600000,2450,4,5,Dubai Marina,1061.2244897959183,25.071829,55.137205
House,15000000,8418,6,8,DAMAC Hills,1781.895937277263,25.030358207096,55.26253469849
House,16499999,5258,4,7,DAMAC Hills,3138.0751236211486,25.028326747542,55.249763578204
Apartment,925000,1304,2,3,Jebel Ali,709.3558282208589,24.969324,55.088603
House,5500000,6210,5,6,Green Community,885.6682769726248,24.9981061,55.16370639
Apartment,2350000,1578,2,3,Dubai Marina,1489.2268694550064,25.081418,55.145019
House,3050000,1791,4,6,Jumeirah Village Circle (JVC),1702.959240647683,25.053755389257,55.219578046957
Apartment,13000000,2553,3,4,Downtown Dubai,5092.04857030944,25.195499,55.271766
Residence,3950000,2387,4,4,Dubai Hills Estate,1654.7968160871387,25.098793405011,55.253703993446
Apartment,7200000,2280,3,4,Palm Jumeirah,3157.8947368421054,25.112159,55.137355
House,22500000,5500,5,5,Jumeirah Islands,4090.909090909091,25.056658,55.155539
Apartment,630000,608,1,1,Town Square,1036.1842105263158,25.004658,55.292706
Apartment,7000000,3374,4,5,Dubai Hills Estate,2074.688796680498,25.109270140797,55.248066348459
Apartment,1800000,1224,1,1,Business Bay,1470.5882352941176,25.184965,55.279542
House,20000000,7539,4,5,Mohammed Bin Rashid City,2652.871733651678,25.168004572073,55.274267770006
Apartment,3050000,1491,2,3,Downtown Dubai,2045.60697518444,25.187594,55.278933
Apartment,3900000,1954,3,4,Business Bay,1995.9058341862844,25.18292,55.255451
