productType,price,sqft,rooms,bathrooms,location,pricePerSqft,latitude,longitude
House,14000000,7444,5,6,Tilal Al Ghaf,1880.7092960773778,25.026002627856,55.220578009336
Residence,10500000,6820,4,5,Palm Jumeirah,1539.5894428152492,25.116252,55.139771
Apartment,4560000,1529,2,3,Downtown Dubai,2982.3413996075865,25.193282071462,55.281022489071
House,16000000,8500,6,7,The Villa,1882.3529411764705,25.087626942553,55.362073382598
Apartment,3300000,861,1,1,Dubai Harbour,3832.752613240418,25.092530010403,55.143982246841
Apartment,4030000,1529,2,3,Dubai Marina,2635.7096141268803,25.079645,55.139158
Apartment,1325000,662,1,2,Business Bay,2001.5105740181268,25.184887,55.259794
House,4250000,3444,4,4,Falcon City of Wonders,1234.0301974448316,25.099105,55.338537
Apartment,1950000,1595,2,3,Dubai Marina,1222.5705329153604,25.087999343872,55.149101257324
Apartment,2741750,745,1,1,Dubai Harbour,3680.201342281879,25.098942394626,55.14159673009
Apartment,1450000,720,1,2,Dubai Creek Harbour,2013.888888888889,25.205529422543,55.346511256165
House,13795000,4807,5,5,Dubai Hills Estate,2869.773247347618,25.101583580209,55.24838665416
Apartment,1550000,757,1,1,Downtown Dubai,2047.556142668428,25.191381,55.273664
Residence,2599000,4140,4,5,Jumeirah Village Circle (JVC),627.7777777777778,25.059901203777,55.19920808684
Apartment,1300000,655,0,1,Business Bay,1984.7328244274809,25.184561,55.291356
Apartment,2499999,1266,2,2,The Views,1974.722748815166,25.087907,55.172581
Apartment,2550000,2120,2,3,Jumeirah Heights,1202.8301886792453,25.062347,55.144179
Apartment,699999,433,0,1,Jumeirah Village Circle (JVC),1616.6258660508083,25.05710847689,55.220434750569
House,1950000,3141,3,4,Dubai South,620.821394460363,24.934315136653,55.224219996037
Apartment,3600000,1326,2,2,Dubai Creek Harbour,2714.9321266968327,25.207450198497,55.342617440562
Apartment,8000000,2503,2,3,Palm Jumeirah,3196.1646024770275,25.117504847767,55.110071897507
Apartment,1450000,761,1,2,Jumeirah Beach Residence (JBR),1905.3876478318002,25.078537,55.136358
Residence,2599000,2995,2,3,Jumeirah Village Triangle (JVT),867.779632721202,25.047039216708,55.190361946244
Apartment,4950000,1410,2,3,Downtown Dubai,3510.6382978723404,25.194700153397,55.270680965444
Apartment,975000,1168,1,2,Dubai Marina,834.7602739726027,25.068307,55.12925
Apartment,1650000,905,2,2,Business Bay,1823.2044198895028,25.186702,55.282607
Residence,1465000,1880,3,3,Dubai South,779.2553191489362,24.863678750508,55.133568914167
House,21000000,5660,4,4,Dubai Hills Estate,3710.2473498233217,25.093740953549,55.247585210327
Apartment,10500000,1829,3,4,Dubai Harbour,5740.841990158557,25.097474627493,55.13884581406
Residence,6950000,2995,4,6,Dubai Marina,2320.534223706177,25.075544,55.133946
Apartment,950000,481,0,1,Dubai Marina,1975.051975051975,25.068307,55.12925
House,10000000,5178,5,5,Dubai Sports City,1931.2475859405176,25.036058937902,55.218035646085
Apartment,920000,644,1,2,Business Bay,1428.5714285714287,25.184887,55.259794
Apartment,1750000,720,1,2,Dubai Marina,2430.5555555555557,25.085145,55.142411
House,17000000,17580,6,7,The Villa,967.0079635949943,25.087626942553,55.362073382598
House,28500000,5000,4,5,Palm Jumeirah,5700.0,25.119634,55.13984
Apartment,3800000,1100,2,2,Umm Suqeim,3454.5454545454545,25.137317,55.189001
Apartment,920000,682,1,1,Jumeirah Village Circle (JVC),1348.9736070381232,25.067673118253,55.206632671149
Apartment,2200000,844,1,2,Jumeirah,2606.6350710900474,25.238180684907,55.255451995557
Apartment,800000,620,1,2,Dubai Production City (IMPZ),1290.3225806451612,25.025723017048,55.18268266724
Apartment,9450000,2237,3,4,Downtown Dubai,4224.407688869021,25.194911,55.282549
House,6950000,3447,3,2,The Meadows,2016.2460110240788,25.045728219038,55.174816899499
Apartment,1899999,1613,1,2,Jumeirah Lake Towers (JLT),1177.9287042777432,25.069954,55.144074
Apartment,3950000,2181,3,4,Palm Jumeirah,1811.0958276020174,25.112089,55.143948
Apartment,5250000,2866,4,5,Business Bay,1831.82135380321,25.192027,55.266592
Apartment,2000000,675,1,2,Al Wasl,2962.962962962963,25.20420366189,55.260745584611
Apartment,2150000,1698,3,3,Dubai Marina,1266.1955241460541,25.08869934082,55.14820098877
Apartment,880000,624,1,2,Jumeirah Village Circle (JVC),1410.2564102564102,25.067077618716,55.203515300999
Apartment,2505300,1618,2,3,Dubai Marina,1548.3930778739184,25.089622,55.14986
Apartment,500000,395,0,1,Jumeirah Village Circle (JVC),1265.8227848101267,25.060815,55.217131
Apartment,2800000,1318,2,2,Dubai Hills Estate,2124.43095599393,25.111153,55.245834
Apartment,2300000,2327,3,4,Dubai Marina,988.3970777825526,25.067693976612,55.13152283675
Apartment,5500000,2326,3,5,Dubai Marina,2364.57437661221,25.079645,55.139158
Apartment,3200000,1653,3,4,The Views,1935.8741681790684,25.088179,55.172624
Apartment,2099999,804,1,2,Dubai Creek Harbour,2611.9390547263683,25.208960192552,55.343657391601
Apartment,4000000,1428,2,2,Al Wasl,2801.1204481792715,25.204828452931,55.258668978378
Apartment,2999950,1302,2,3,Dubai Marina,2304.1090629800306,25.081673,55.141993
Apartment,2900000,1870,2,3,Palm Jumeirah,1550.802139037433,25.114684,55.136636
Apartment,2750000,876,1,1,Umm Suqeim,3139.2694063926942,25.132797305286,55.192263774765
Apartment,4750000,1130,2,2,Downtown Dubai,4203.539823008849,25.195018,55.270476
Apartment,5500000,2326,3,5,Dubai Marina,2364.57437661221,25.079645,55.139158
Apartment,920000,433,0,1,Business Bay,2124.7113163972285,25.18017983602,55.27394254418
Apartment,2250000,2051,3,3,Al Jaddaf,1097.0258410531449,25.212295131212,55.319120377354
