productType,price,sqft,rooms,bathrooms,location,pricePerSqft
Apartment,825000,795,1,1,Jumeirah Village Circle (JVC),1037.7358490566037
Apartment,2550000,1237,2,2,Dubai Marina,2061.4389652384803
House,6700000,7000,5,7,The Villa,957.1428571428571
Apartment,1850000,1023,1,2,Dubai Marina,1808.4066471163246
Apartment,5500000,3996,2,3,Palm Jumeirah,1376.3763763763764
House,5300000,4335,4,5,Jumeirah Park,1222.6066897347175
House,6000000,4537,3,3,Dubai Hills Estate,1322.4597751818383
Apartment,520000,596,1,1,Town Square,872.48322147651
Apartment,700000,408,0,1,Business Bay,1715.686274509804
Apartment,4100000,1858,3,4,Dubai Marina,2206.6738428417652
House,8395000,4300,5,6,DAMAC Hills,1952.3255813953488
Residence,2700000,2420,4,4,Town Square,1115.702479338843
Residence,2600000,3122,4,4,Town Square,832.7994875080077
Apartment,1900000,1621,1,2,Jumeirah Village Circle (JVC),1172.1159777914868
Apartment,3000000,1283,2,3,Downtown Dubai,2338.269680436477
Apartment,2200000,1130,2,2,Dubai Creek Harbour,1946.9026548672566
Apartment,1450000,776,1,1,Business Bay,1868.5567010309278
House,1700000,1830,3,3,DAMAC Hills 2 (Akoya by DAMAC),928.9617486338798
Apartment,600000,477,1,1,Town Square,1257.861635220126
Apartment,1300000,673,1,1,Dubai Creek Harbour,1931.6493313521546
Apartment,3000000,1231,2,3,Downtown Dubai,2437.043054427295
House,5600000,4500,4,5,Jumeirah Park,1244.4444444444443
Apartment,20185000,3762,4,5,Dubai Marina,5365.497076023392
Apartment,875000,700,1,2,Dubai Marina,1250.0
House,4295000,2647,3,4,The Springs,1622.591613146959
Apartment,2800000,1499,2,3,Dubai Marina,1867.9119412941961
House,3850000,3842,3,4,Al Furjan,1002.082248828735
House,2500000,4000,4,4,Jumeirah Village Circle (JVC),625.0
Apartment,600000,474,0,1,Arjan,1265.8227848101267
Apartment,700000,657,1,2,Town Square,1065.4490106544902
House,4500000,2462,4,4,Dubai Hills Estate,1827.7822908204712
Apartment,1400000,2384,2,3,Jumeirah Village Circle (JVC),587.248322147651
Apartment,5999900,1452,2,3,Downtown Dubai,4132.1625344352615
Residence,2600000,2662,3,3,Serena,976.7092411720511
Apartment,425000,595,1,2,Dubai Production City (IMPZ),714.2857142857143
House,2250000,2264,3,2,Dubailand,993.8162544169611
Residence,4800000,3357,5,5,DAMAC Hills,1429.8480786416444
Apartment,7990000,2096,3,3,Dubai Harbour,3812.022900763359
Apartment,13900000,2129,3,5,Bluewaters Island,6528.886801315171
Residence,1500000,3255,3,4,Dubai South,460.8294930875576
House,3150000,2524,4,3,Reem,1248.0190174326467
House,8500000,4334,5,4,Dubai Sports City,1961.236732810337
House,8375000,4170,4,4,The Meadows,2008.3932853717026
Apartment,2100000,1134,2,2,Dubai Creek Harbour,1851.851851851852
Apartment,2100000,1127,2,2,Dubai Creek Harbour,1863.3540372670807
House,8500000,4802,5,5,Dubai Sports City,1770.0957934194087
Apartment,9900000,1609,2,3,Bluewaters Island,6152.889993784959
Apartment,5800000,2345,3,4,Dubai Marina,2473.347547974414
Apartment,3450000,1312,2,2,Dubai Creek Harbour,2629.5731707317073
House,9900000,8500,6,6,The Villa,1164.7058823529412
House,5300000,3063,3,4,Jumeirah Park,1730.3297420829253
Apartment,5900000,1154,1,2,Bluewaters Island,5112.651646447141
Residence,2410000,4584,4,5,Jumeirah Village Circle (JVC),525.7417102966841
House,4000000,2600,3,2,The Springs,1538.4615384615386
Apartment,390000,470,0,1,Jumeirah Village Circle (JVC),829.7872340425532
Apartment,1650000,1443,2,3,Jumeirah Golf Estates,1143.4511434511435
House,35000000,8000,4,6,Pearl Jumeirah,4375.0
House,9500000,5230,5,6,DAMAC Hills,1816.4435946462715
Apartment,3850000,1230,2,3,Jumeirah,3130.081300813008
Apartment,2450000,1139,2,2,Dubai Creek Harbour,2151.009657594381
Apartment,3300000,1639,3,4,Dubai Creek Harbour,2013.4228187919464
Apartment,5500000,2755,3,4,Dubai Marina,1996.3702359346642
Apartment,1345000,720,1,1,Dubai Hills Estate,1868.0555555555557
